Commune;Code_postal
AFAAHITI;
ANAA;98790
APATAKI;98762
ARUE;98701
ARUTUA;98761
BORA-BORA;98730
FAAA;98704
FAAONE;98720
FAKARAVA;98790
FANGATAU;98765
FATU-HIVA;98740
GAMBIER;98755
HAO;98790
HIKUERU;98790
HITIAA;98705
HIVA-OA;98796
HUAHINE;98731
KAUEHI;98787
MAHAENA;98706
MAHINA;98709
MAKEMO;98790
MANIHI;98770
MATAIEA;98726
MATAIVA;
MAUPITI;98732
MOOREA;98728
NAPUKA;98791
NIAU;98759
NUKU-HIVA;98796
PAEA;98711
PAPARA;98712
PAPEARI;98727
PAPEETE;98714
PAPENOO;98707
PIRAE;98716
PUEU;98721
PUNAAUIA;98717
RAIATEA;98735
RAIVAVAE;98750
RANGIROA;98775
RAPA;98794
RIMATARA;98752
RURUTU;98753
TAHAA;98734
TAHUATA;98743
TARAVAO;98719
TAUTIRA;98722
TEAHUPOO;98723
TIAREI;98708
TOAHOTU;98724
TUBUAI;98754
UA-HUKA;98744
UA-POU;98746
VAIRAO;98725
AHE;
ARATIKA;98764
